domain,scraped_url,company_name,num_employees,parent_company,annual_sales
chroniclejournal.com,www.chroniclejournal.com,Chronicle Journal,3,NA,363.35K
chroniclelive.co.uk,www.chroniclelive.co.uk,NCJ MEDIA LIMITED,818,TIH (NEWCASTLE) LIMITED,31.19M
citizensvoice.com,www.citizensvoice.com,Citizens' Voice,66,NA,10.84M
citywire.co.uk,www.citywire.co.uk,CITYWIRE HOLDINGS LIMITED,180,NA,33.03M
cjonline.com,www.cjonline.com,Topeka Capital Journal,33,NA,2.32M
cjr.org,www.cjr.org,CJR VERTICAL LIMITED,9,NA,1.01M
clarionledger.com,www.clarionledger.com,Rankin Ledger,5,NA,235.78K
cleveland.com,www.cleveland.com,Cleveland.com,45,NA,0.62M
clubic.com,www.clubic.com,CLUBIC SAS,5,NA,3.93M
cnet.com,www.cnet.com,Cnet Networks Inc.,881,CBS Interactive Inc.,30.36M
coe.int,www.coe.int.ezproxy.library.tufts.edu,CONSEIL DE L EUROPE,250,NA,21.73M
columbian.com,www.columbian.com,The Columbian Publishing Company,384,NA,45.56M
columbiaspectator.com,www.columbiaspectator.com,Columbia Daily Spectator,44,NA,235.57K
commentcamarche.net,www.commentcamarche.net,IPOMO MBUTA RAOUL,1,NA,158.51K
commercialappeal.com,www.commercialappeal.com,Memphis Publishing Company,500,"Journal Media Group, Inc.",50.19M
commondreams.org,www.commondreams.org,Common Dreams,2,NA,1.57M
complex.com,www.complex.com,"Complex Media, Inc.",45,"Buzzfeed Media Enterprises, Inc.",42.49M
computerbase.de,www.computerbase.de,ComputerBase GmbH,6,NA,0.52M
computerbild.de,www.computerbild.de,COMPUTER BILD Digital GmbH,4,Axel Springer SE,462.46K
computerwoche.de,www.computerwoche.de,Freiberufler-Beratungs-Centrum,13,NA,1.27M
connect.de,www.we-connect.de,we-connect.de GmbH,3,NA,0.57M
consortiumnews.com,www.consortiumnews.com,Media Consortium,2,NA,112.88K
consumer.es,www.consumer.es,CECOSA HIPERMERCADOS SL,442,EROSKI S.C.,267.80M
corriere.it,www.corriere.it.ezproxy.library.tufts.edu,Il Corriere,3,NA,158.87K
corrieredellosport.it,www.corrieredellosport.it,CORRIERE DELLO SPORT SRL,42,NA,39.86M
cosmopolitan.com,www.cosmopolitan.com,Cosmopolitan Magazine,38,NA,0.77M
cosmopolitan.fr,www.cosmopolitan.fr,COSMOPOLITANE,2,NA,192.69K
courant.com,www.courant.com,The Hartford Courant Company LLC,750,Tribune Publishing Company,136.18M
crainsnewyork.com,www.crainsnewyork.com,Resource New York Inc,45,"Interface, Inc.",8.06M
crikey.com.au,www.crikey.com.au.ezproxy.library.tufts.edu,MAYNE MEDIA PTY LTD,4,NA,327.79K
csif.es,www.csif.es,CENTRAL SINDICAL INDEPENDIENTE Y DE FUNCIONARIOS,13,NA,0.56M
ctpost.com,www.ctpost.com,CT Home Hunter LLC,6,NA,225.40K
ctvnews.ca,www.ctvnews.ca,Ctv Atlantic,1,NA,180.35K
dagospia.com,www.dagospia.com,DAGOSPIA SPA,6,NA,2.68M
dailybreeze.com,www.dailybreeze.com,"National Media, Inc.",70,"Digital First Media, LLC",16.16M
dailycal.org,www.dailycal.org,"Independent Berkeley Student Publishing Company, Inc.",85,NA,237.64K
